127.0.0.1 - - [07/Apr/2023:20:18:44 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [07/Apr/2023:20:18:45 +0530] "GET /project_3/ HTTP/1.1" 200 653
0:0:0:0:0:0:0:1 - - [07/Apr/2023:20:18:45 +0530] "GET /project_3/img/ORSPicture.png HTTP/1.1" 200 104606
0:0:0:0:0:0:0:1 - - [07/Apr/2023:20:18:45 +0530] "GET /project_3/img/custom.png HTTP/1.1" 200 17583
0:0:0:0:0:0:0:1 - - [07/Apr/2023:20:18:45 +0530] "GET /project_3/img/pic101.jpg HTTP/1.1" 200 81258
0:0:0:0:0:0:0:1 - - [07/Apr/2023:20:19:29 +0530] "GET /project_3/ HTTP/1.1" 200 653
0:0:0:0:0:0:0:1 - - [07/Apr/2023:20:19:29 +0530] "GET /project_3/img/ORSPicture.png HTTP/1.1" 200 104606
0:0:0:0:0:0:0:1 - - [07/Apr/2023:20:19:29 +0530] "GET /project_3/img/custom.png HTTP/1.1" 200 17583
0:0:0:0:0:0:0:1 - - [07/Apr/2023:20:19:29 +0530] "GET /project_3/img/pic101.jpg HTTP/1.1" 200 81258
0:0:0:0:0:0:0:1 - - [07/Apr/2023:20:19:30 +0530] "GET /project_3/ HTTP/1.1" 200 653
0:0:0:0:0:0:0:1 - - [07/Apr/2023:20:19:30 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [07/Apr/2023:20:19:40 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3706
0:0:0:0:0:0:0:1 - - [07/Apr/2023:20:19:40 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [07/Apr/2023:20:19:40 +0530] "GET /project_3/img/school.jpg HTTP/1.1" 200 351831
0:0:0:0:0:0:0:1 - - [07/Apr/2023:20:19:42 +0530] "GET /project_3/UserRegistrationCtl HTTP/1.1" 200 11964
0:0:0:0:0:0:0:1 - - [07/Apr/2023:20:19:42 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [07/Apr/2023:20:19:43 +0530] "GET /project_3/img/study.jpg HTTP/1.1" 200 326081
0:0:0:0:0:0:0:1 - - [07/Apr/2023:20:19:43 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [07/Apr/2023:20:19:45 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7020
0:0:0:0:0:0:0:1 - - [07/Apr/2023:20:19:45 +0530] "GET /project_3/img/login103.jpg HTTP/1.1" 200 380646
0:0:0:0:0:0:0:1 - - [07/Apr/2023:20:19:48 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7020
0:0:0:0:0:0:0:1 - - [07/Apr/2023:20:19:50 +0530] "POST /project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Apr/2023:20:19:50 +0530] "GET /project_3/UserRegistrationCtl HTTP/1.1" 200 11964
0:0:0:0:0:0:0:1 - - [07/Apr/2023:20:19:50 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [07/Apr/2023:20:19:50 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [07/Apr/2023:20:19:52 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7020
0:0:0:0:0:0:0:1 - - [07/Apr/2023:20:20:06 +0530] "POST /project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Apr/2023:20:20:06 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 9683
0:0:0:0:0:0:0:1 - - [07/Apr/2023:20:20:06 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [07/Apr/2023:20:20:09 +0530] "GET /project_3/ctl/UserCtl HTTP/1.1" 200 17824
